CustomerID,Lookalikes
C0001,"[('C0113', 0.36515798651665227), ('C0039', 0.3572689939490886), ('C0091', 0.3525554728713223)]"
C0002,"[('C0170', 0.534507218722452), ('C0106', 0.3913814602328882), ('C0145', 0.37119473299136285)]"
C0003,"[('C0031', 0.6160684422656562), ('C0104', 0.4368436471534916), ('C0113', 0.41887656212134916)]"
C0004,"[('C0127', 0.5902190771167699), ('C0065', 0.5850890618653015), ('C0104', 0.5778698013424322)]"
C0005,"[('C0162', 0.5854477316709691), ('C0045', 0.32735474818934995), ('C0084', 0.28463637152270715)]"
C0006,"[('C0126', 0.5445960475666866), ('C0028', 0.4342916732136769), ('C0051', 0.4174739406761192)]"
C0007,"[('C0019', 0.40173666967947314), ('C0045', 0.32735474818934995), ('C0162', 0.299511462281283)]"
C0008,"[('C0154', 0.6892844969077148), ('C0065', 0.6511076870761673), ('C0059', 0.6101480012032227)]"
C0009,"[('C0141', 0.32017902796465414), ('C0105', 0.29585936533512197), ('C0049', 0.2883342608369498)]"
C0010,"[('C0165', 0.3203417193204231), ('C0099', 0.30512808392220225), ('C0141', 0.3020852250356154)]"
C0011,"[('C0165', 0.4857042461510994), ('C0126', 0.42330314979678907), ('C0155', 0.41376304234793354)]"
C0012,"[('C0065', 0.638624223293658), ('C0104', 0.615510677460766), ('C0113', 0.565056397495713)]"
C0013,"[('C0165', 0.4198925424903883), ('C0084', 0.4159321362641318), ('C0156', 0.40425708488606454)]"
C0014,"[('C0091', 0.3802901726958263), ('C0172', 0.2302155735002103), ('C0179', 0.21312696859050825)]"
C0015,"[('C0081', 0.4491090171963714), ('C0049', 0.3877549271916794), ('C0065', 0.3114538595798782)]"
C0016,"[('C0068', 0.5574892607016494), ('C0167', 0.3976338661847045), ('C0156', 0.3939474905723706)]"
C0017,"[('C0060', 0.4793733560744482), ('C0131', 0.47784738293367535), ('C0172', 0.4650669775484835)]"
C0018,"[('C0038', 0.5598738334910894), ('C0157', 0.36256961579546454), ('C0068', 0.3561769148268834)]"
C0019,"[('C0007', 0.40173666967947314), ('C0023', 0.37186631662783626), ('C0057', 0.34687253258378536)]"
C0020,"[('C0159', 0.3708150534399414), ('C0068', 0.1927669240273332), ('C0157', 0.18596581389433559)]"
